c_custkey,c_name,c_address,c_city,c_nation,c_region,c_phone,c_mktsegment
4166,Customer#000004166,"5,L1tBQ5CVp6,IKsPFllQgMv",ROMANIA  4,ROMANIA,EUROPE,29-578-202-9289,FURNITURE
4167,Customer#000004167,71jtuLj9IvjzyC8g zy7x,ROMANIA  3,ROMANIA,EUROPE,29-559-657-2387,BUILDING
4168,Customer#000004168,Ym CZEI9Y8mXL1OpxVrktpp,ROMANIA  7,ROMANIA,EUROPE,29-863-984-6918,MACHINERY
4169,Customer#000004169,E7 adjZkjh4jPD,ROMANIA  8,ROMANIA,EUROPE,29-348-389-5240,MACHINERY
4170,Customer#000004170,VnLKZo4q8KkrPQ8DRNqIzvDw,INDIA    5,INDIA,ASIA,18-119-982-6992,MACHINERY
4171,Customer#000004171, KEvX3jbbsD,IRAQ     8,IRAQ,MIDDLE EAST,21-432-109-4868,FURNITURE
4172,Customer#000004172,"rwqhe2OV7,Jj",ARGENTINA6,ARGENTINA,AMERICA,11-535-156-4854,MACHINERY
4173,Customer#000004173,Co7Uu9Eg2EGeAwg,IRAN     4,IRAN,MIDDLE EAST,20-482-647-2376,HOUSEHOLD
4174,Customer#000004174,Smkvtk52,FRANCE   2,FRANCE,EUROPE,16-306-572-4172,MACHINERY
4175,Customer#000004175,j4aOt1qMoAk9Dmc,CANADA   2,CANADA,AMERICA,13-619-113-7015,HOUSEHOLD
4176,Customer#000004176,"eplT cSiV5K,sKffOCCRco15",KENYA    3,KENYA,AFRICA,24-777-624-2424,AUTOMOBILE
4177,Customer#000004177,"e,lVZB",UNITED KI4,UNITED KINGDOM,EUROPE,33-130-268-6436,BUILDING
4178,Customer#000004178,fujXuCPEtJpgV,ROMANIA  8,ROMANIA,EUROPE,29-963-549-7141,HOUSEHOLD
4179,Customer#000004179,toF5Z3,MOROCCO  5,MOROCCO,AFRICA,25-322-243-2679,BUILDING
4180,Customer#000004180,uDf8Z3xg1CTFnoWXhZKXw,SAUDI ARA7,SAUDI ARABIA,MIDDLE EAST,30-146-781-4916,FURNITURE
4181,Customer#000004181,"j4cI cD,Wmnmj2Aj1oC,5CZ",INDIA    5,INDIA,ASIA,18-358-239-8302,AUTOMOBILE
4182,Customer#000004182,7HHcRMkSG0g,ROMANIA  6,ROMANIA,EUROPE,29-703-537-7176,BUILDING
4183,Customer#000004183,"gMhw EGtqo4eLDdJr,",IRAQ     4,IRAQ,MIDDLE EAST,21-919-783-2376,HOUSEHOLD
4184,Customer#000004184,cajJq8cp,IRAQ     5,IRAQ,MIDDLE EAST,21-853-365-4488,HOUSEHOLD
4185,Customer#000004185,e8NNj8YcaYF0cg2dq02,ARGENTINA0,ARGENTINA,AMERICA,11-482-153-7608,FURNITURE
4186,Customer#000004186,"Y5E9edOq66rCXC,iEovjgx31",CHINA    7,CHINA,ASIA,28-352-240-9381,FURNITURE
4187,Customer#000004187,"Dbt4F,er",JORDAN   7,JORDAN,MIDDLE EAST,23-544-325-8509,MACHINERY
4188,Customer#000004188,HA4FN3M8r60o8r0,VIETNAM  3,VIETNAM,ASIA,31-163-952-6311,BUILDING
4189,Customer#000004189,"F9fWJSkN76o76MBa,WXB0G",CANADA   0,CANADA,AMERICA,13-941-395-6766,BUILDING
4190,Customer#000004190,57P0vGMKPeCMtJYpSgdQHR5,INDIA    5,INDIA,ASIA,18-541-269-6336,BUILDING
4191,Customer#000004191,"xQn,Ct2FcOIRGO0oDH15f4xK",UNITED KI8,UNITED KINGDOM,EUROPE,33-988-338-5560,FURNITURE
4192,Customer#000004192,25T4x5kNy7,UNITED ST8,UNITED STATES,AMERICA,34-414-299-7051,AUTOMOBILE
4193,Customer#000004193,shZXLvPm5sPQOG2cLTVZ,JORDAN   8,JORDAN,MIDDLE EAST,23-511-454-8561,FURNITURE
4194,Customer#000004194,oqDlzrwEC5ix35KzuqvoTJe,VIETNAM  5,VIETNAM,ASIA,31-288-507-7190,MACHINERY
4195,Customer#000004195,CXv7TcsEmUicIsF3yQ,PERU     3,PERU,AMERICA,27-326-471-3018,HOUSEHOLD
4196,Customer#000004196,LOPjfFx2hvKslJOL J2dk,JAPAN    1,JAPAN,ASIA,22-744-953-4826,HOUSEHOLD
4197,Customer#000004197,"P2U53lKj70lSOg,AI8 nc3X",JAPAN    8,JAPAN,ASIA,22-926-817-3031,HOUSEHOLD
4198,Customer#000004198,nvOazusOnFdxV6hk3DMJts1d,GERMANY  6,GERMANY,EUROPE,17-254-260-2603,BUILDING
4199,Customer#000004199,OxD0yax6jkKNIk avC5,MOROCCO  6,MOROCCO,AFRICA,25-777-418-8371,MACHINERY
4200,Customer#000004200,"6KWs7Xvcb,b7p,kM",RUSSIA   7,RUSSIA,EUROPE,32-121-475-4055,FURNITURE
4201,Customer#000004201,MAmMTDurzDTLa5LM FdtNWt,IRAQ     4,IRAQ,MIDDLE EAST,21-206-103-2848,FURNITURE
4202,Customer#000004202,9SRkT2gcjItt9Rae4oJh,MOZAMBIQU2,MOZAMBIQUE,AFRICA,26-381-782-8176,FURNITURE
4203,Customer#000004203,ceW2MfpeeSrz6,ALGERIA  0,ALGERIA,AFRICA,10-924-754-2291,FURNITURE
4204,Customer#000004204,VglIZj,MOZAMBIQU7,MOZAMBIQUE,AFRICA,26-911-376-7894,BUILDING
4205,Customer#000004205,c343UmUysjBG3gI,MOZAMBIQU8,MOZAMBIQUE,AFRICA,26-726-862-3719,BUILDING
4206,Customer#000004206,0tLvuSHiIAbL,EGYPT    7,EGYPT,MIDDLE EAST,14-349-201-4836,AUTOMOBILE
4207,Customer#000004207,Gq8xKHOlEA3QUtbmZpYpZW5,CANADA   5,CANADA,AMERICA,13-630-551-4752,FURNITURE
4208,Customer#000004208,"vlf0G7okWb2N9 6,WO",VIETNAM  2,VIETNAM,ASIA,31-940-537-5212,BUILDING
4209,Customer#000004209,G50HutxkbQ4SwV,ROMANIA  6,ROMANIA,EUROPE,29-566-383-6651,MACHINERY
4210,Customer#000004210,eDydzMXL0,JAPAN    3,JAPAN,ASIA,22-846-259-5523,AUTOMOBILE
4211,Customer#000004211,",RI6w v5Q3NJzQE",CANADA   8,CANADA,AMERICA,13-991-154-6084,FURNITURE
4212,Customer#000004212,RQWkY2UX,MOZAMBIQU6,MOZAMBIQUE,AFRICA,26-826-852-7976,MACHINERY
4213,Customer#000004213,IUUQXzo TK MGqL,CHINA    9,CHINA,ASIA,28-544-255-7334,AUTOMOBILE
4214,Customer#000004214,DtoNm8ycR8,KENYA    0,KENYA,AFRICA,24-430-209-4584,AUTOMOBILE
4215,Customer#000004215,NDjOY  ZEHz5QJ3iQ5,IRAQ     3,IRAQ,MIDDLE EAST,21-764-806-9574,HOUSEHOLD
4216,Customer#000004216,",T4kUixkg7RcLX",ETHIOPIA 6,ETHIOPIA,AFRICA,15-143-246-5832,HOUSEHOLD
4217,Customer#000004217,fISA0F2a8p9n,SAUDI ARA3,SAUDI ARABIA,MIDDLE EAST,30-828-494-6197,AUTOMOBILE
4218,Customer#000004218,"Oj 9UDJeu,BcTIr18P0IYq",IRAQ     7,IRAQ,MIDDLE EAST,21-475-186-9239,FURNITURE
4219,Customer#000004219,fEoDycEQvrJ6,SAUDI ARA1,SAUDI ARABIA,MIDDLE EAST,30-342-391-2797,AUTOMOBILE
4220,Customer#000004220,gwLbzWhBJ CGK69sxAja,ETHIOPIA 8,ETHIOPIA,AFRICA,15-577-164-1419,BUILDING
4221,Customer#000004221,xS7TR0K7qct28Av,ETHIOPIA 9,ETHIOPIA,AFRICA,15-987-839-9220,BUILDING
4222,Customer#000004222,aZecSkABKIl8kYKvDqM,MOROCCO  9,MOROCCO,AFRICA,25-994-801-4006,MACHINERY
4223,Customer#000004223,mdchf2K6tGnfFjD,UNITED ST2,UNITED STATES,AMERICA,34-942-726-1376,HOUSEHOLD
4224,Customer#000004224,fqGlzX UVhDLlB20xmsyZ,ARGENTINA9,ARGENTINA,AMERICA,11-757-565-7788,MACHINERY
4225,Customer#000004225,ypwr2IPgp5vw0h,ARGENTINA6,ARGENTINA,AMERICA,11-905-423-5482,AUTOMOBILE
4226,Customer#000004226,Qe3EiREIfqLp8ukfRyLPG,VIETNAM  0,VIETNAM,ASIA,31-485-847-3252,HOUSEHOLD
4227,Customer#000004227,qxxqxHV,MOZAMBIQU4,MOZAMBIQUE,AFRICA,26-944-427-1692,MACHINERY
4228,Customer#000004228,d5PQkG3300wk,MOROCCO  0,MOROCCO,AFRICA,25-152-277-5955,MACHINERY
4229,Customer#000004229,u9C xtIF ,IRAQ     2,IRAQ,MIDDLE EAST,21-993-906-4067,HOUSEHOLD
4230,Customer#000004230,YlfQh3Jgg,ARGENTINA4,ARGENTINA,AMERICA,11-184-940-7969,BUILDING
4231,Customer#000004231,"D0X2,J9atsq9,kIQC0jyYou8",ETHIOPIA 8,ETHIOPIA,AFRICA,15-981-678-1087,AUTOMOBILE
4232,Customer#000004232,EX 9Eq7N5iYxSGHRQR3PIyS,ETHIOPIA 9,ETHIOPIA,AFRICA,15-190-226-8988,AUTOMOBILE
4233,Customer#000004233,mCyrj IcvA9pk3 Lnpwz,MOROCCO  5,MOROCCO,AFRICA,25-672-232-8748,BUILDING
4234,Customer#000004234,fcskyR0kSAUQH,FRANCE   2,FRANCE,EUROPE,16-441-897-3193,MACHINERY
4235,Customer#000004235,1y8fNGru9 n3Rm,UNITED KI9,UNITED KINGDOM,EUROPE,33-181-321-4318,AUTOMOBILE
4236,Customer#000004236,MnDudPz,JORDAN   2,JORDAN,MIDDLE EAST,23-732-580-5040,FURNITURE
4237,Customer#000004237,79d3kpRjLlbf,IRAN     1,IRAN,MIDDLE EAST,20-313-168-5293,BUILDING
4238,Customer#000004238,rqsZqOvvn42jngQuv8m,ARGENTINA2,ARGENTINA,AMERICA,11-208-952-5176,FURNITURE
4239,Customer#000004239,B4oikM0vKABk5UoeVz ,IRAQ     6,IRAQ,MIDDLE EAST,21-792-885-1801,FURNITURE
4240,Customer#000004240,0jbORrlH,RUSSIA   8,RUSSIA,EUROPE,32-512-274-7108,BUILDING
4241,Customer#000004241,ci3f EnuCHPJloNm4XNlr,PERU     7,PERU,AMERICA,27-735-543-1686,BUILDING
4242,Customer#000004242,vZbVahl6vR9jX,IRAQ     6,IRAQ,MIDDLE EAST,21-583-550-7456,HOUSEHOLD
4243,Customer#000004243,Z8CrGcJC3w5jjPmSPSS,VIETNAM  3,VIETNAM,ASIA,31-103-354-4766,HOUSEHOLD
4244,Customer#000004244,jxpINVKV8LqeZWQw,EGYPT    4,EGYPT,MIDDLE EAST,14-358-482-9613,MACHINERY
4245,Customer#000004245,GLLczqPZoHe,KENYA    8,KENYA,AFRICA,24-600-238-6444,HOUSEHOLD
4246,Customer#000004246,"m1 kHlju,bI",INDONESIA0,INDONESIA,ASIA,19-839-807-8696,AUTOMOBILE
4247,Customer#000004247,",w157di,gTFa9rQc9f4GZ9",UNITED ST0,UNITED STATES,AMERICA,34-971-236-4573,HOUSEHOLD
4248,Customer#000004248,HgSNDwB0e5wG00yz,INDONESIA7,INDONESIA,ASIA,19-165-703-2083,MACHINERY
4249,Customer#000004249,wWq3M8Q0lUN03dYlb6iI0o,JAPAN    1,JAPAN,ASIA,22-168-862-7396,BUILDING
4250,Customer#000004250,Qw DUyPFcd6Gb1VHGzwcu9B,ROMANIA  5,ROMANIA,EUROPE,29-458-464-5764,FURNITURE
4251,Customer#000004251,",y2cwJjPLUReFT2PcwqIac",CANADA   9,CANADA,AMERICA,13-668-435-9037,MACHINERY
4252,Customer#000004252,fltJs4hPoHOfL5EGM71Bw 8x,JAPAN    0,JAPAN,ASIA,22-466-731-9917,AUTOMOBILE
4253,Customer#000004253," dcjVzw,G5,iXNz8GwTm8Pv",INDONESIA0,INDONESIA,ASIA,19-554-883-7131,HOUSEHOLD
4254,Customer#000004254,QmdvhbsB,SAUDI ARA3,SAUDI ARABIA,MIDDLE EAST,30-561-100-8913,HOUSEHOLD
4255,Customer#000004255,C94BOCaUbhlJjha,ALGERIA  0,ALGERIA,AFRICA,10-815-810-3298,AUTOMOBILE
4256,Customer#000004256,INURU8ZO211E,CHINA    5,CHINA,ASIA,28-705-632-8995,HOUSEHOLD
4257,Customer#000004257,jSzLO4c,INDIA    6,INDIA,ASIA,18-400-807-5614,HOUSEHOLD
4258,Customer#000004258,2EQ6lPVHLRlx,UNITED KI9,UNITED KINGDOM,EUROPE,33-677-419-7502,BUILDING
4259,Customer#000004259,4YccuGB,ROMANIA  0,ROMANIA,EUROPE,29-678-462-7858,MACHINERY
4260,Customer#000004260,ZASmNpCnxjA1,INDONESIA9,INDONESIA,ASIA,19-649-686-7057,FURNITURE
4261,Customer#000004261,"YtVxIArh1Avty8M,vLhUdizn",ETHIOPIA 8,ETHIOPIA,AFRICA,15-872-324-4660,BUILDING
4262,Customer#000004262,mRmQFABs3yI7qcSYJwvr,IRAQ     9,IRAQ,MIDDLE EAST,21-411-249-7962,AUTOMOBILE
4263,Customer#000004263,3qEWmbXUR9e4G,CANADA   4,CANADA,AMERICA,13-736-545-2713,MACHINERY
4264,Customer#000004264,PtuuEN,EGYPT    7,EGYPT,MIDDLE EAST,14-570-661-6739,HOUSEHOLD
4265,Customer#000004265,seEG3Cye,UNITED KI0,UNITED KINGDOM,EUROPE,33-767-409-9777,MACHINERY
4266,Customer#000004266,"9,DnbOGtcI6Zr7 ",VIETNAM  0,VIETNAM,ASIA,31-841-628-8854,FURNITURE
4267,Customer#000004267,IGqFvGVd5XMLJ9Zn,ARGENTINA4,ARGENTINA,AMERICA,11-570-932-2207,BUILDING
4268,Customer#000004268,"bQ,JdbWBXLr",UNITED ST0,UNITED STATES,AMERICA,34-506-841-4902,AUTOMOBILE
4269,Customer#000004269,BQLHL4NbdWVM9h,UNITED KI4,UNITED KINGDOM,EUROPE,33-554-339-4440,BUILDING
4270,Customer#000004270,pVgeWKPnWu5yqIUL8Ki560zo,UNITED KI3,UNITED KINGDOM,EUROPE,33-546-435-2366,BUILDING
4271,Customer#000004271,9cH4zKqGL nWXpG4J9fH,MOROCCO  9,MOROCCO,AFRICA,25-613-589-8895,MACHINERY
4272,Customer#000004272,ouTzaB9O3ln5t,SAUDI ARA9,SAUDI ARABIA,MIDDLE EAST,30-156-269-4617,MACHINERY
4273,Customer#000004273,AKSolJcN,IRAQ     3,IRAQ,MIDDLE EAST,21-697-436-6330,FURNITURE
4274,Customer#000004274,hB8avAYWnua1G,MOROCCO  6,MOROCCO,AFRICA,25-601-657-7620,AUTOMOBILE
4275,Customer#000004275,Tpa9 AekbyFs1I9OLen,CANADA   7,CANADA,AMERICA,13-183-119-7498,FURNITURE
4276,Customer#000004276,fKC58JsA6XE,MOROCCO  6,MOROCCO,AFRICA,25-558-143-2429,FURNITURE
4277,Customer#000004277,74eBjMQrSp,MOROCCO  5,MOROCCO,AFRICA,25-621-227-9287,AUTOMOBILE
4278,Customer#000004278,"vwrLu,GL70XLL",MOZAMBIQU9,MOZAMBIQUE,AFRICA,26-128-333-9665,MACHINERY
4279,Customer#000004279,LvCPxX,RUSSIA   6,RUSSIA,EUROPE,32-221-325-6661,FURNITURE
4280,Customer#000004280,jornU udnS,KENYA    2,KENYA,AFRICA,24-813-523-7352,MACHINERY
4281,Customer#000004281,"6XFr0ycbEy6,aWFJ",BRAZIL   5,BRAZIL,AMERICA,12-464-650-3588,MACHINERY
4282,Customer#000004282,OxM5mp5zh6qTukFFaLUDP,CANADA   1,CANADA,AMERICA,13-638-451-2359,HOUSEHOLD
4283,Customer#000004283,6ZKHGCRuEPMCoAUjJ,JAPAN    8,JAPAN,ASIA,22-331-275-1618,BUILDING
4284,Customer#000004284,lIl7Bj,EGYPT    2,EGYPT,MIDDLE EAST,14-531-780-6992,BUILDING
4285,Customer#000004285,"cP3wy62,9hRo,7lzWnnA",JORDAN   5,JORDAN,MIDDLE EAST,23-770-951-9922,HOUSEHOLD
4286,Customer#000004286,pdeB kGvtMFRDETP3GCZadT,ARGENTINA1,ARGENTINA,AMERICA,11-731-882-2014,BUILDING
4287,Customer#000004287,dv16N0U,UNITED KI5,UNITED KINGDOM,EUROPE,33-965-997-9633,MACHINERY
4288,Customer#000004288,36dMbZ,UNITED ST7,UNITED STATES,AMERICA,34-490-182-6976,HOUSEHOLD
4289,Customer#000004289,"bHnkw0,",ROMANIA  4,ROMANIA,EUROPE,29-823-805-6194,MACHINERY
4290,Customer#000004290,FTQjZKwQGcFLCMb3,VIETNAM  2,VIETNAM,ASIA,31-115-116-7022,AUTOMOBILE
4291,Customer#000004291,iuFJPtTUjaPso5MH3,FRANCE   6,FRANCE,EUROPE,16-581-478-1018,AUTOMOBILE
4292,Customer#000004292,0tIvX7CspGj,UNITED ST2,UNITED STATES,AMERICA,34-388-109-2378,BUILDING
4293,Customer#000004293,2ROzpFWN3biEg,UNITED ST1,UNITED STATES,AMERICA,34-932-580-1830,MACHINERY
4294,Customer#000004294,TeHysGeSdqi,PERU     6,PERU,AMERICA,27-152-685-8820,HOUSEHOLD
4295,Customer#000004295,xqSitdclm5cT,ETHIOPIA 4,ETHIOPIA,AFRICA,15-153-665-8905,FURNITURE
4296,Customer#000004296,GrfgayhJ4KBr1k19uS3MsQfs,IRAN     2,IRAN,MIDDLE EAST,20-164-508-2447,FURNITURE
4297,Customer#000004297,BPSQxUKnmaYRxRT75FQSPzAY,MOZAMBIQU8,MOZAMBIQUE,AFRICA,26-926-313-1268,AUTOMOBILE
4298,Customer#000004298,",o6VXE8f Y",KENYA    4,KENYA,AFRICA,24-624-118-5185,BUILDING
4299,Customer#000004299,0uHfDSCY,UNITED KI9,UNITED KINGDOM,EUROPE,33-597-481-8715,FURNITURE
4300,Customer#000004300,"R8KnPFb,r5KdeITiEXKG",KENYA    5,KENYA,AFRICA,24-882-529-9383,BUILDING
4301,Customer#000004301,"m03D,XjhIIlfctbBJfUuR",JORDAN   0,JORDAN,MIDDLE EAST,23-177-403-7035,HOUSEHOLD
4302,Customer#000004302,F6NR3OaPvCqG2Yj5An,RUSSIA   6,RUSSIA,EUROPE,32-606-267-3674,FURNITURE
4303,Customer#000004303,"HHy,WUh7MGxEHJJiXdfE K",MOROCCO  5,MOROCCO,AFRICA,25-156-627-9874,HOUSEHOLD
4304,Customer#000004304,N0NY8a,ETHIOPIA 7,ETHIOPIA,AFRICA,15-411-882-6278,HOUSEHOLD
4305,Customer#000004305,"gjkC4dob4MUA480,rVI7",ALGERIA  2,ALGERIA,AFRICA,10-910-276-2619,FURNITURE
4306,Customer#000004306,L3qn9M8,CHINA    8,CHINA,ASIA,28-305-265-1905,FURNITURE
4307,Customer#000004307,7CSHUXo30RFBdV7PKya,JORDAN   2,JORDAN,MIDDLE EAST,23-532-961-5876,BUILDING
4308,Customer#000004308,gmjUhtDT7vQq,VIETNAM  5,VIETNAM,ASIA,31-253-297-4869,MACHINERY
4309,Customer#000004309,HhCF7y9mL7W,BRAZIL   2,BRAZIL,AMERICA,12-659-627-7245,MACHINERY
4310,Customer#000004310,FbmIsvY,BRAZIL   3,BRAZIL,AMERICA,12-316-543-3225,HOUSEHOLD
4311,Customer#000004311,Ba4g Qe,KENYA    1,KENYA,AFRICA,24-357-820-7468,BUILDING
4312,Customer#000004312,XXoJkouIqyyV6skYzSrx,GERMANY  3,GERMANY,EUROPE,17-977-452-4386,BUILDING
4313,Customer#000004313,",hynlezxG",KENYA    2,KENYA,AFRICA,24-504-686-2700,HOUSEHOLD
4314,Customer#000004314,vtWpYSQYd 8ceGf2Eirv,INDONESIA4,INDONESIA,ASIA,19-237-924-3488,FURNITURE
4315,Customer#000004315,"zuHH,0XbkNye",SAUDI ARA8,SAUDI ARABIA,MIDDLE EAST,30-714-666-3485,FURNITURE
4316,Customer#000004316,"RZPrGkOBRou,K7H6Y7cCn60Y",JORDAN   1,JORDAN,MIDDLE EAST,23-388-840-9405,BUILDING
4317,Customer#000004317,IPiw kwfKs9vKgV,RUSSIA   1,RUSSIA,EUROPE,32-977-681-7927,FURNITURE
4318,Customer#000004318,nGjCt4AywYWZRoHkm9fP,ARGENTINA9,ARGENTINA,AMERICA,11-359-705-9039,HOUSEHOLD
4319,Customer#000004319,sS5DMT,ETHIOPIA 9,ETHIOPIA,AFRICA,15-838-256-1909,AUTOMOBILE
4320,Customer#000004320,EMvKfiBA1275DTJLkpAo,ETHIOPIA 4,ETHIOPIA,AFRICA,15-396-899-3488,MACHINERY
4321,Customer#000004321,eierDMLl45zxWJRWxFhu4,KENYA    7,KENYA,AFRICA,24-307-459-7559,MACHINERY
4322,Customer#000004322,28Sb0U8wUF3c2CyQJFK,INDIA    1,INDIA,ASIA,18-985-116-1716,HOUSEHOLD
4323,Customer#000004323,"ArgRhaRVk,1Z",INDONESIA9,INDONESIA,ASIA,19-925-518-5234,FURNITURE
4324,Customer#000004324,"G8Uz9PCkMLKH uD,0zSPRcpc",UNITED KI7,UNITED KINGDOM,EUROPE,33-728-224-9004,HOUSEHOLD
4325,Customer#000004325,dqcJjoPQX7fufpV,ROMANIA  8,ROMANIA,EUROPE,29-217-911-1925,FURNITURE
4326,Customer#000004326,ut73UDEfs,FRANCE   3,FRANCE,EUROPE,16-766-642-6061,BUILDING
4327,Customer#000004327,FDtDHa9xZQQfIM,INDONESIA5,INDONESIA,ASIA,19-762-173-1803,MACHINERY
4328,Customer#000004328,hAlBQk1KIBVY4nP4Uwp,VIETNAM  0,VIETNAM,ASIA,31-234-328-4961,BUILDING
4329,Customer#000004329,vL1QgJ2BwlaFkBy4Kb,FRANCE   9,FRANCE,EUROPE,16-962-303-6530,AUTOMOBILE
4330,Customer#000004330,72y0GOnrEoX79jCvM61kgL,UNITED ST5,UNITED STATES,AMERICA,34-302-461-3032,BUILDING
4331,Customer#000004331,XugnDGPKEObNNdooomjehCtq,BRAZIL   2,BRAZIL,AMERICA,12-799-824-2703,BUILDING
4332,Customer#000004332,cal7GMIC5iZ3,INDIA    9,INDIA,ASIA,18-778-486-3196,HOUSEHOLD
4333,Customer#000004333,"LJu0Gvn86bE f,R6,",FRANCE   6,FRANCE,EUROPE,16-740-193-5229,FURNITURE
4334,Customer#000004334,MWf3hQzodHjhHHJoP,JORDAN   2,JORDAN,MIDDLE EAST,23-622-154-9549,AUTOMOBILE
4335,Customer#000004335,"kxhzpV26eZ,cClCp86Fslr",SAUDI ARA2,SAUDI ARABIA,MIDDLE EAST,30-722-246-6675,BUILDING
4336,Customer#000004336,1ArYzHR,RUSSIA   6,RUSSIA,EUROPE,32-440-714-5905,MACHINERY
4337,Customer#000004337,xO6WTUj4TEE,IRAN     7,IRAN,MIDDLE EAST,20-336-798-6912,AUTOMOBILE
4338,Customer#000004338,AOX6 W6gat5KccKSFw HYH,MOROCCO  6,MOROCCO,AFRICA,25-134-671-1078,MACHINERY
4339,Customer#000004339,"mE8hYqhAQu72,e9d",MOZAMBIQU6,MOZAMBIQUE,AFRICA,26-428-879-3000,AUTOMOBILE
4340,Customer#000004340,jC04C12jYdzP,JAPAN    4,JAPAN,ASIA,22-687-297-7802,HOUSEHOLD
4341,Customer#000004341,jhZiBtBOu0FaS0qY,GERMANY  5,GERMANY,EUROPE,17-297-329-5399,BUILDING
4342,Customer#000004342,VnA3nEKE,SAUDI ARA2,SAUDI ARABIA,MIDDLE EAST,30-762-808-9263,HOUSEHOLD
4343,Customer#000004343,Hndwi5dan8cILTUo J,GERMANY  0,GERMANY,EUROPE,17-313-610-2278,BUILDING
4344,Customer#000004344,bZp3eQqopw4qLrE,INDIA    8,INDIA,ASIA,18-886-913-7149,AUTOMOBILE
4345,Customer#000004345,1xrP5Rs,SAUDI ARA9,SAUDI ARABIA,MIDDLE EAST,30-528-615-8863,BUILDING
4346,Customer#000004346,"VmWQMB,YR8DE9irE2l WwqHh",INDONESIA7,INDONESIA,ASIA,19-718-828-6572,FURNITURE
4347,Customer#000004347,"MmQe3NCKtH,pW4",CHINA    5,CHINA,ASIA,28-123-300-1434,HOUSEHOLD
4348,Customer#000004348,tloXSLDIq,PERU     3,PERU,AMERICA,27-145-895-8293,HOUSEHOLD
4349,Customer#000004349,Z2NsyLMHqP6z0AfCs0O,ALGERIA  1,ALGERIA,AFRICA,10-445-977-5483,MACHINERY
4350,Customer#000004350, yIniD1gTg,JAPAN    2,JAPAN,ASIA,22-941-565-7098,BUILDING
4351,Customer#000004351,iYRK0w3n9o2Vo52OFMflFyuX,IRAN     4,IRAN,MIDDLE EAST,20-645-998-6425,AUTOMOBILE
4352,Customer#000004352,QGzTeQ9bz,KENYA    6,KENYA,AFRICA,24-737-503-1499,BUILDING
4353,Customer#000004353,RZVHXsjfQTFiW5AHv,PERU     1,PERU,AMERICA,27-589-479-2677,FURNITURE
4354,Customer#000004354,UgShSs,BRAZIL   7,BRAZIL,AMERICA,12-593-191-6022,AUTOMOBILE
4355,Customer#000004355,O6Tav1W1kxgbP4jc,INDIA    8,INDIA,ASIA,18-417-961-5085,FURNITURE
4356,Customer#000004356,n84iUQ8OVRhan,INDIA    7,INDIA,ASIA,18-952-312-2784,BUILDING
4357,Customer#000004357,yQSga5c,MOROCCO  2,MOROCCO,AFRICA,25-572-616-3196,BUILDING
4358,Customer#000004358,KUO9R3o2tahhUqfjFC,GERMANY  6,GERMANY,EUROPE,17-393-709-2760,AUTOMOBILE
4359,Customer#000004359,w0UmZKmR,ETHIOPIA 7,ETHIOPIA,AFRICA,15-225-502-7948,AUTOMOBILE
4360,Customer#000004360,MRyD5Jcup,JAPAN    6,JAPAN,ASIA,22-804-427-4888,AUTOMOBILE
4361,Customer#000004361,vqr94pb8Z7UAElc3Q,GERMANY  9,GERMANY,EUROPE,17-428-881-7794,AUTOMOBILE
4362,Customer#000004362,Lh398gDHW0Y605,IRAN     3,IRAN,MIDDLE EAST,20-861-314-1632,BUILDING
4363,Customer#000004363,FKVqu0YU,IRAQ     1,IRAQ,MIDDLE EAST,21-304-359-6322,MACHINERY
4364,Customer#000004364,"ztxxqK8nqp5BUMpWv,b,U3",KENYA    4,KENYA,AFRICA,24-861-274-9747,AUTOMOBILE
4365,Customer#000004365,WvcomSHjVGBUFbtl,GERMANY  6,GERMANY,EUROPE,17-374-750-1318,AUTOMOBILE
4366,Customer#000004366,"co,vkG GXsBjHm32CddX",GERMANY  3,GERMANY,EUROPE,17-504-933-6709,BUILDING
4367,Customer#000004367,kN1tFAX60IbTh,BRAZIL   2,BRAZIL,AMERICA,12-831-672-9171,BUILDING
4368,Customer#000004368,HBJreJdPGjJm1tn9,BRAZIL   4,BRAZIL,AMERICA,12-610-568-5262,MACHINERY
4369,Customer#000004369,9ikuKTqEw2ALit,EGYPT    3,EGYPT,MIDDLE EAST,14-686-881-2063,FURNITURE
4370,Customer#000004370,BacC  fQGK4sdGvJy7,EGYPT    8,EGYPT,MIDDLE EAST,14-761-821-1614,FURNITURE
4371,Customer#000004371,UjuGDvPX LRvZvS4jwlJOxMk,RUSSIA   6,RUSSIA,EUROPE,32-473-202-8668,HOUSEHOLD
4372,Customer#000004372,aGQ0on0pf4IwIK,IRAN     9,IRAN,MIDDLE EAST,20-379-154-9481,FURNITURE
4373,Customer#000004373,q rB04EQh,IRAN     6,IRAN,MIDDLE EAST,20-258-823-3046,BUILDING
4374,Customer#000004374,Ugqjhyfcm0KI4E37p,UNITED ST8,UNITED STATES,AMERICA,34-501-388-1169,BUILDING
4375,Customer#000004375,HexO78oqrFWO,ETHIOPIA 3,ETHIOPIA,AFRICA,15-500-492-9459,BUILDING
4376,Customer#000004376,TGEA5Ud3,ROMANIA  0,ROMANIA,EUROPE,29-324-748-3186,AUTOMOBILE
4377,Customer#000004377,yNSyQTKVDoGdOrxOrcBbS5o,IRAN     0,IRAN,MIDDLE EAST,20-456-736-4972,HOUSEHOLD
